,,,,,,,,,,
SavantaComRes/The Daily Telegraph,2019-11-26,GB,2034,41%,34%,13%,3%,2%,5%,1%
YouGov/The Times/Sky News,2019-11-26,GB,1678,43%,32%,13%,4%,2%,4%,1%
ICM Research,2019-11-25,GB,2004,41%,34%,13%,3%,3%,4%,1%
Kantar,2019-11-25,GB,1097,43%,32%,14%,4%,4%,3%,0%
Deltapoll/The Mail on Sunday,2019-11-23,GB,1519,43%,30%,16%,4%,3%,3%,0%
Survation/Good Morning Britain,2019-11-23,UK,1010,41%,30%,15%,3%,3%,5%,4%
YouGov/The Sunday Times,2019-11-22,GB,1677,42%,30%,16%,4%,4%,3%,1%
Opinium/The Observer,2019-11-22,GB,2003,47%,28%,12%,5%,3%,3%,1%
Panelbase,2019-11-22,GB,2028,42%,32%,14%,3%,3%,3%,2%
SavantaComRes/Sunday Express,2019-11-21,GB,2038,42%,32%,15%,3%,2%,5%,1%
BMG,2019-11-21,GB,1663,41%,28%,18%,2%,5%,3%,1%
YouGov,2019-11-20,GB,11277,43%,29%,15%,4%,3%,4%,2%
SavantaComRes/The Daily Telegraph,2019-11-19,GB,1628,42%,31%,15%,4%,2%,5%,1%
YouGov/The Times,2019-11-19,GB,1606,42%,30%,15%,4%,4%,4%,1%
Ipsos MORI/Evening Standard,2019-11-19,GB,1128,44%,28%,16%,4%,3%,3%,1%
YouGov,2019-11-18,GB,1634,43%,29%,15%,4%,3%,3%,3%
ICM Research,2019-11-18,GB,2010,42%,32%,13%,3%,3%,5%,2%
Kantar,2019-11-18,GB,1176,45%,27%,16%,4%,3%,2%,2%
Survation,2019-11-16,UK,1010,42%,28%,13%,3%,3%,5%,4%
Deltapoll/The Mail on Sunday,2019-11-16,GB,1526,45%,30%,11%,3%,3%,6%,2%
YouGov/The Sunday Times,2019-11-15,GB,1670,45%,28%,15%,4%,3%,4%,2%
Opinium/The Observer,2019-11-15,GB,2008,44%,28%,14%,4%,3%,6%,1%
BMG/The Independent,2019-11-15,GB,1506,37%,29%,16%,2%,5%,9%,0%
SavantaComRes/The Sunday Telegraph,2019-11-14,GB,2052,41%,33%,14%,3%,2%,5%,1%
