Pollster/client(s),Date(s) conducted,Area,Sample size,CON,LAB,LIB,SNP,GRN,BXP,OTH
YouGov,2019-11-29,GB,2000,43%,34%,13%,3%,4%,2%,1%
Deltapoll,2019-11-29,GB,2000,45%,32%,15%,3%,2%,3%,0%
Opinium,2019-11-29,GB,2000,46%,31%,13%,4%,2%,2%,2%
BMG,2019-11-29,GB,2000,39%,33%,13%,3%,5%,4%,1%
ComRes,2019-11-28,GB,2000,43%,33%,13%,3%,3%,4%,1%
Panelbase,2019-11-28,GB,2010,42%,34%,13%,3%,3%,4%,1%
SavantaComRes/The Daily Telegraph,2019-11-26,GB,2034,41%,34%,13%,3%,2%,5%,1%
YouGov/The Times/Sky News,2019-11-26,GB,1678,43%,32%,13%,4%,2%,4%,1%
ICM Research,2019-11-25,GB,2004,41%,34%,13%,3%,3%,4%,1%
Kantar,2019-11-25,GB,1097,43%,32%,14%,4%,4%,3%,0%
Deltapoll/The Mail on Sunday,2019-11-23,GB,1519,43%,30%,16%,4%,3%,3%,0%
Survation/Good Morning Britain,2019-11-23,UK,1010,41%,30%,15%,3%,3%,5%,4%
YouGov/The Sunday Times,2019-11-22,GB,1677,42%,30%,16%,4%,4%,3%,1%
Opinium/The Observer,2019-11-22,GB,2003,47%,28%,12%,5%,3%,3%,1%
Panelbase,2019-11-22,GB,2028,42%,32%,14%,3%,3%,3%,2%
SavantaComRes/Sunday Express,2019-11-21,GB,2038,42%,32%,15%,3%,2%,5%,1%
BMG,2019-11-21,GB,1663,41%,28%,18%,2%,5%,3%,1%
YouGov,2019-11-20,GB,11277,43%,29%,15%,4%,3%,4%,2%
SavantaComRes/The Daily Telegraph,2019-11-19,GB,1628,42%,31%,15%,4%,2%,5%,1%
YouGov/The Times,2019-11-19,GB,1606,42%,30%,15%,4%,4%,4%,1%
Ipsos MORI/Evening Standard,2019-11-19,GB,1128,44%,28%,16%,4%,3%,3%,1%
YouGov,2019-11-18,GB,1634,43%,29%,15%,4%,3%,3%,3%
ICM Research,2019-11-18,GB,2010,42%,32%,13%,3%,3%,5%,2%
Kantar,2019-11-18,GB,1176,45%,27%,16%,4%,3%,2%,2%
Survation,2019-11-16,UK,1010,42%,28%,13%,3%,3%,5%,4%
Deltapoll/The Mail on Sunday,2019-11-16,GB,1526,45%,30%,11%,3%,3%,6%,2%
YouGov/The Sunday Times,2019-11-15,GB,1670,45%,28%,15%,4%,3%,4%,2%
Opinium/The Observer,2019-11-15,GB,2008,44%,28%,14%,4%,3%,6%,1%
BMG/The Independent,2019-11-15,GB,1506,37%,29%,16%,2%,5%,9%,0%
SavantaComRes/The Sunday Telegraph,2019-11-14,GB,2052,41%,33%,14%,3%,2%,5%,1%
Panelbase,2019-11-14,GB,1021,43%,30%,15%,4%,2%,5%,0%
SavantaComRes/The Daily Telegraph,2019-11-12,GB,2022,40%,30%,16%,4%,3%,7%,1%
YouGov/The Times/Sky News,2019-11-12,GB,1619,42%,28%,15%,3%,4%,4%,4%
ICM Research,2019-11-11,GB,2035,39%,31%,15%,3%,3%,8%,2%
Kantar,2019-11-11,GB,1165,37%,27%,17%,3%,3%,9%,4%
ComRes/Britain Elects,2019-11-10,GB,2014,37%,29%,17%,4%,3%,9%,1%
Deltapoll/The Mail on Sunday,2019-11-09,GB,1518,41%,29%,16%,3%,2%,6%,2%
YouGov/The Sunday Times,2019-11-08,GB,1598,39%,26%,17%,4%,4%,10%,0%
Survation,2019-11-08,UK,2037,35%,29%,17%,4%,1%,10%,4%
Opinium/The Observer,2019-11-08,GB,2001,41%,29%,15%,5%,2%,6%,1%
Panelbase,2019-11-08,GB,1046,40%,30%,15%,4%,3%,8%,0%
BMG/The Independent,2019-11-08,GB,1504,37%,29%,16%,2%,7%,9%,0%
YouGov/The Times/Sky,2019-11-06,GB,1667,36%,25%,17%,4%,5%,11%,1%
ComRes/Remain United,2019-11-05,GB,6097,36%,29%,17%,4%,3%,11%,0%
YouGov/The Times,2019-11-04,GB,3284,38%,25%,16%,4%,5%,11%,0%
ICM Research/Reuters,2019-11-04,GB,2047,38%,31%,15%,3%,3%,9%,1%
Deltapoll/The Mail on Sunday,2019-11-02,GB,1500,40%,28%,14%,3%,2%,11%,0%
Opinium/The Observer,2019-11-01,GB,2004,42%,26%,16%,4%,2%,9%,1%
YouGov/The Sunday Times,2019-11-01,GB,1834,39%,27%,16%,5%,4%,7%,1%
ComRes/Sunday Express,2019-10-31,GB,2032,36%,28%,17%,4%,3%,10%,1%
ORB/The Sunday Telegraph,2019-10-31,GB,2025,36%,28%,14%,5%,4%,12%,1%
Panelbase,2019-10-31,GB,1008,40%,29%,14%,3%,3%,9%,1%
YouGov/The Times,2019-10-30,GB,1750,36%,21%,18%,4%,6%,13%,1%
Survation/Daily Mail,2019-10-30,UK,1010,34%,26%,19%,4%,1%,12%,4%
Ipsos MORI/Evening Standard,2019-10-28,GB,1007,41%,24%,20%,4%,3%,7%,0%
YouGov,2019-10-28,GB,11590,36%,22%,19%,4%,6%,12%,0%
YouGov/The Times,2019-10-25,GB,1672,36%,23%,18%,4%,6%,12%,0%
Opinium/The Observer,2019-10-25,GB,2001,40%,24%,15%,5%,3%,10%,1%
YouGov/The Times,2019-10-21,GB,1689,37%,22%,19%,3%,7%,11%,0%
Deltapoll,2019-10-21,GB,2017,37%,24%,19%,4%,3%,11%,0%
Panelbase,2019-10-18,GB,1008,36%,27%,17%,4%,3%,11%,0%
Survation/Daily Mail,2019-10-18,UK,1025,32%,24%,21%,4%,2%,13%,4%
ComRes/Britain Elects,2019-10-17,GB,2067,33%,29%,18%,4%,4%,12%,0%
Opinium/The Observer,2019-10-17,GB,2001,37%,24%,16%,4%,4%,12%,1%
YouGov/The Times,2019-10-15,GB,1625,37%,22%,18%,4%,5%,11%,0%
Kantar,2019-10-15,GB,1184,39%,25%,18%,3%,3%,8%,1%
Panelbase/The Sunday Times,2019-10-11,GB,2013,33%,30%,17%,4%,3%,12%,0%
